run,mean_rb_utilization,stddev_rb_utilization,min_rb_utilization,max_rb_utilization
Scenario1-0-20250707-22:31:25-965772,24.526681333067,1.677753341627,5.0,25.0
Scenario1-10-20250707-22:31:26-965835,24.515463355212,1.7215484489599,5.0,25.0
Scenario1-11-20250707-22:31:26-965836,24.496863693387,1.766741782785,3.0,25.0
Scenario1-12-20250707-22:31:26-965845,24.496445519172,1.7637746459795,4.0,25.0
Scenario1-13-20250707-22:31:26-965846,24.520808712569,1.6977762698117,6.0,25.0
Scenario1-14-20250707-22:31:27-965855,24.507463500664,1.7376639817084,4.0,25.0
Scenario1-15-20250707-22:31:27-965860,24.520335993891,1.7099893896047,4.0,25.0
Scenario1-16-20250707-22:31:28-965877,24.494554644461,1.767291811661,3.0,25.0
Scenario1-17-20250707-22:31:28-965879,24.520045090089,1.7347368167596,5.0,25.0
Scenario1-18-20250707-22:31:28-965878,24.531426701333,1.6889261189867,5.0,25.0
Scenario1-19-20250707-22:31:28-965880,24.521717786949,1.7083128737468,5.0,25.0
Scenario1-1-20250707-22:31:25-965771,24.50680896711,1.7494814818413,4.0,25.0
Scenario1-2-20250707-22:31:25-965773,24.516263340667,1.7294229328766,6.0,25.0
Scenario1-3-20250707-22:31:25-965774,24.482463955201,1.787966526455,4.0,25.0
Scenario1-4-20250707-22:31:25-965775,24.529117652406,1.6875135990276,3.0,25.0
Scenario1-5-20250707-22:31:25-965776,24.512190687442,1.7338977433625,4.0,25.0
Scenario1-6-20250707-22:31:25-965778,24.511117979673,1.7118169579051,7.0,25.0
Scenario1-7-20250707-22:31:25-965777,24.512517954219,1.7197231880241,4.0,25.0
Scenario1-8-20250707-22:31:25-965779,24.512136142979,1.71582023388,5.0,25.0
Scenario1-9-20250707-22:31:25-965780,24.512063417029,1.7167318100645,5.0,25.0
Scenario1-20-20250707-22:31:28-965893,24.875256813512,0.76942879636905,9.0,25.0
Scenario1-30-20250707-22:31:30-965965,24.874093198305,0.7805719977073,8.0,25.0
Scenario1-31-20250707-22:31:30-965970,24.864547917311,0.81230180222026,8.0,25.0
Scenario1-32-20250707-22:31:30-965976,24.860875256814,0.83039330730723,8.0,25.0
Scenario1-33-20250707-22:31:31-965982,24.856802603589,0.8590711400944,7.0,25.0
Scenario1-34-20250707-22:31:31-965987,24.868875111362,0.82402920626904,6.0,25.0
Scenario1-35-20250707-22:31:31-965992,24.872947764586,0.77462200727985,6.0,25.0
Scenario1-36-20250707-22:31:31-965998,24.847911856148,0.88776309981561,5.0,25.0
Scenario1-37-20250707-22:31:31-966003,24.856275340448,0.86195187132295,5.0,25.0
Scenario1-38-20250707-22:31:31-966008,24.872675042272,0.79137789296475,7.0,25.0
Scenario1-39-20250707-22:31:31-966009,24.870529626734,0.80585405256527,6.0,25.0
Scenario1-21-20250707-22:31:28-965902,24.857002599953,0.84889581166708,9.0,25.0
Scenario1-22-20250707-22:31:28-965907,24.861293431029,0.84604757641114,4.0,25.0
Scenario1-23-20250707-22:31:28-965912,24.859984363921,0.85511019583926,8.0,25.0
Scenario1-24-20250707-22:31:28-965919,24.868638752023,0.79765468700277,7.0,25.0
Scenario1-25-20250707-22:31:29-965927,24.864184287558,0.82912282923868,7.0,25.0
Scenario1-26-20250707-22:31:29-965932,24.859638915656,0.84593587150954,7.0,25.0
Scenario1-27-20250707-22:31:29-965933,24.865984254832,0.82061141221724,7.0,25.0
Scenario1-28-20250707-22:31:30-965955,24.869329648552,0.8131406250307,7.0,25.0
Scenario1-29-20250707-22:31:30-965958,24.867929674006,0.81368567922844,7.0,25.0
Scenario1-40-20250707-22:31:31-966010,24.971836875693,0.3066942605637,14.0,25.0
Scenario1-50-20250707-22:31:34-966095,24.969764186106,0.32262327711466,8.0,25.0
Scenario1-51-20250707-22:31:34-966100,24.967709678006,0.3462697946594,11.0,25.0
Scenario1-52-20250707-22:31:35-966105,24.969018745114,0.33955071763819,9.0,25.0
Scenario1-53-20250707-22:31:35-966110,24.96760058908,0.35445897954083,10.0,25.0
Scenario1-54-20250707-22:31:35-966111,24.969527826767,0.32915673629501,12.0,25.0
Scenario1-55-20250707-22:31:35-966112,24.96714605189,0.3447168249122,12.0,25.0
Scenario1-56-20250707-22:31:35-966125,24.965436992055,0.37753496459138,9.0,25.0
Scenario1-57-20250707-22:31:36-966142,24.969164197015,0.33865247614984,11.0,25.0
Scenario1-58-20250707-22:31:36-966147,24.975109543463,0.28357859147948,12.0,25.0
Scenario1-59-20250707-22:31:36-966152,24.971200523627,0.3179016894754,7.0,25.0
Scenario1-41-20250707-22:31:32-966034,24.969836912056,0.33250999812998,11.0,25.0
Scenario1-42-20250707-22:31:33-966039,24.965055180815,0.36939350925855,11.0,25.0
Scenario1-43-20250707-22:31:33-966044,24.970691441974,0.32115571427011,10.0,25.0
Scenario1-44-20250707-22:31:33-966049,24.970145997346,0.33272920268702,9.0,25.0
Scenario1-45-20250707-22:31:33-966054,24.972891401975,0.3054826607294,10.0,25.0
Scenario1-46-20250707-22:31:33-966059,24.97041871966,0.3226276000392,10.0,25.0
Scenario1-47-20250707-22:31:33-966064,24.969527826767,0.33201666545415,11.0,25.0
Scenario1-48-20250707-22:31:34-966081,24.970073271395,0.31979370068029,10.0,25.0
Scenario1-49-20250707-22:31:34-966090,24.972182323958,0.32717632042725,6.0,25.0
Scenario1-60-20250707-22:31:36-966157,24.993291031072,0.1053586420899,19.0,25.0
Scenario1-70-20250707-22:31:39-966223,24.992400138179,0.12812091290221,15.0,25.0
Scenario1-71-20250707-22:31:39-966228,24.993636479337,0.1026709455022,17.0,25.0
Scenario1-72-20250707-22:31:39-966229,24.992109234378,0.12895209876829,16.0,25.0
Scenario1-73-20250707-22:31:39-966230,24.992381956692,0.13085787153532,15.0,25.0
Scenario1-74-20250707-22:31:39-966232,24.993618297849,0.10416420799901,16.0,25.0
Scenario1-75-20250707-22:31:39-966231,24.99254559008,0.12350514836024,15.0,25.0
Scenario1-76-20250707-22:31:40-966265,24.99170924165,0.13363582904089,15.0,25.0
Scenario1-77-20250707-22:31:41-966272,24.993091034708,0.12601403913063,14.0,25.0
Scenario1-78-20250707-22:31:41-966277,24.992400138179,0.12698054666753,17.0,25.0
Scenario1-79-20250707-22:31:41-966278,24.991563789749,0.1322590844755,17.0,25.0
Scenario1-61-20250707-22:31:37-966163,24.993036490246,0.11554872846691,19.0,25.0
Scenario1-62-20250707-22:31:37-966164,24.993745568262,0.10869878944535,15.0,25.0
Scenario1-63-20250707-22:31:37-966165,24.992436501155,0.11304492948166,18.0,25.0
Scenario1-64-20250707-22:31:37-966178,24.992527408593,0.13750562070706,14.0,25.0
Scenario1-65-20250707-22:31:37-966183,24.992436501155,0.13299716910748,14.0,25.0
Scenario1-66-20250707-22:31:38-966200,24.993545571899,0.099882538106429,16.0,25.0
Scenario1-67-20250707-22:31:38-966205,24.992145597353,0.12937661008604,14.0,25.0
Scenario1-68-20250707-22:31:38-966210,24.991436519336,0.14936024788193,11.0,25.0
Scenario1-69-20250707-22:31:38-966211,24.993509208923,0.12274754488063,13.0,25.0
Scenario1-80-20250707-22:31:41-966287,24.997000054544,0.057604452006449,21.0,25.0
Scenario1-90-20250707-22:31:44-966345,24.996490972891,0.062424173313877,22.0,25.0
Scenario1-91-20250707-22:31:44-966346,24.996709150743,0.058216579376408,23.0,25.0
Scenario1-92-20250707-22:31:44-966375,24.996909147106,0.060524158213231,21.0,25.0
Scenario1-93-20250707-22:31:44-966380,24.996363702478,0.073518425705049,19.0,25.0
Scenario1-94-20250707-22:31:45-966387,24.996709150743,0.058216579376408,23.0,25.0
Scenario1-95-20250707-22:31:45-966388,24.997290958346,0.054371843113087,22.0,25.0
Scenario1-96-20250707-22:31:45-966389,24.997000054544,0.056649642380799,22.0,25.0
Scenario1-97-20250707-22:31:45-966390,24.996672787767,0.060960660960109,22.0,25.0
Scenario1-98-20250707-22:31:46-966442,24.996600061817,0.060956648016781,22.0,25.0
Scenario1-99-20250707-22:31:46-966458,24.996818239668,0.058843890846197,23.0,25.0
Scenario1-81-20250707-22:31:41-966288,24.996672787767,0.060960660960109,21.0,25.0
Scenario1-82-20250707-22:31:41-966289,24.997200050908,0.054534194083804,22.0,25.0
Scenario1-83-20250707-22:31:42-966313,24.996563698842,0.060655590925816,23.0,25.0
Scenario1-84-20250707-22:31:42-966314,24.996709150743,0.061850899352016,21.0,25.0
Scenario1-85-20250707-22:31:42-966323,24.996309158015,0.064420600753606,21.0,25.0
Scenario1-86-20250707-22:31:43-966328,24.99672733223,0.065144722775232,19.0,25.0
Scenario1-87-20250707-22:31:43-966329,24.996490972891,0.063863883343711,21.0,25.0
Scenario1-88-20250707-22:31:43-966338,24.996563698842,0.059749559006482,23.0,25.0
Scenario1-89-20250707-22:31:44-966344,24.996800058181,0.06111640313074,21.0,25.0
Scenario1-100-20250707-22:31:46-966463,24.997000054544,0.056004059755924,23.0,25.0
Scenario1-110-20250707-22:31:49-966525,24.997381865784,0.051455715942063,23.0,25.0
Scenario1-111-20250707-22:31:50-966530,24.997727314049,0.047999226178776,23.0,25.0
Scenario1-112-20250707-22:31:50-966546,24.997509136198,0.050571057417728,23.0,25.0
Scenario1-113-20250707-22:31:50-966547,24.997345502809,0.053870626742538,22.0,25.0
Scenario1-114-20250707-22:31:50-966548,24.997472773222,0.053026359736741,21.0,25.0
Scenario1-115-20250707-22:31:50-966561,24.997090961983,0.055846307587759,23.0,25.0
Scenario1-116-20250707-22:31:51-966567,24.997436410247,0.050567422830684,24.0,25.0
Scenario1-117-20250707-22:31:51-966572,24.997454591735,0.050388245895387,24.0,25.0
Scenario1-118-20250707-22:31:52-966578,24.99787276595,0.047625645042815,23.0,25.0
Scenario1-119-20250707-22:31:52-966583,24.997400047272,0.052332539288267,22.0,25.0
Scenario1-101-20250707-22:31:47-966468,24.997345502809,0.051806009375863,23.0,25.0
Scenario1-102-20250707-22:31:47-966473,24.997800039999,0.048754264118754,22.0,25.0
Scenario1-103-20250707-22:31:47-966478,24.997545499173,0.050572835393716,23.0,25.0
Scenario1-104-20250707-22:31:48-966484,24.997145506445,0.056335334385011,22.0,25.0
Scenario1-105-20250707-22:31:48-966485,24.997363684297,0.054375417945914,22.0,25.0
Scenario1-106-20250707-22:31:48-966483,24.997545499173,0.050572835393716,23.0,25.0
Scenario1-107-20250707-22:31:48-966507,24.997363684297,0.051982118293191,23.0,25.0
Scenario1-108-20250707-22:31:48-966512,24.997418228759,0.053194905511718,22.0,25.0
Scenario1-109-20250707-22:31:48-966517,24.997309139834,0.052846562234182,23.0,25.0
Scenario1-120-20250707-22:31:52-966598,24.997163687933,0.053522728446643,23.0,25.0
Scenario1-130-20250707-22:31:55-966662,24.997309139834,0.052153924753982,23.0,25.0
Scenario1-131-20250707-22:31:55-966667,24.99756368066,0.050393638344658,23.0,25.0
Scenario1-132-20250707-22:31:56-966675,24.997581862148,0.050213795218637,23.0,25.0
Scenario1-133-20250707-22:31:56-966690,24.997709132561,0.04818739003322,23.0,25.0
Scenario1-134-20250707-22:31:56-966694,24.997509136198,0.050571057417728,23.0,25.0
Scenario1-135-20250707-22:31:56-966701,24.997527317685,0.050391867165985,23.0,25.0
Scenario1-136-20250707-22:31:57-966706,24.997254595371,0.052671441960177,23.0,25.0
Scenario1-137-20250707-22:31:57-966711,24.997618225123,0.04874572009026,24.0,25.0
Scenario1-138-20250707-22:31:57-966712,24.997236413883,0.054536048946785,22.0,25.0
Scenario1-139-20250707-22:31:58-966732,24.997672769586,0.048561510105986,23.0,25.0
Scenario1-121-20250707-22:31:52-966599,24.99710914347,0.054362479342127,23.0,25.0
Scenario1-122-20250707-22:31:52-966608,24.997672769586,0.048561510105986,23.0,25.0
Scenario1-123-20250707-22:31:53-966613,24.997636406611,0.049670319078661,23.0,25.0
Scenario1-124-20250707-22:31:53-966618,24.99756368066,0.050753151842775,23.0,25.0
Scenario1-125-20250707-22:31:53-966623,24.997600043636,0.050033299050099,23.0,25.0
Scenario1-126-20250707-22:31:53-966628,24.997781858512,0.04704531408207,24.0,25.0
Scenario1-127-20250707-22:31:54-966647,24.997309139834,0.052153924753982,23.0,25.0
Scenario1-128-20250707-22:31:55-966652,24.99756368066,0.050393638344658,23.0,25.0
Scenario1-129-20250707-22:31:55-966653,24.997890947437,0.045876385270994,24.0,25.0
Scenario1-140-20250707-22:31:58-966737,24.997545499173,0.049482529954207,24.0,25.0
Scenario1-150-20250707-22:32:01-966799,24.997581862148,0.049484320319996,23.0,25.0
Scenario1-151-20250707-22:32:02-966808,24.997745495536,0.047810314871414,23.0,25.0
Scenario1-152-20250707-22:32:02-966813,24.997600043636,0.048930972857136,24.0,25.0
Scenario1-153-20250707-22:32:02-966829,24.997290958346,0.053017381848405,23.0,25.0
Scenario1-154-20250707-22:32:03-966834,24.997654588098,0.048747483265765,23.0,25.0
Scenario1-155-20250707-22:32:03-966839,24.997454591735,0.051811483957406,23.0,25.0
Scenario1-156-20250707-22:32:04-966844,24.997690951074,0.047997490613913,24.0,25.0
Scenario1-157-20250707-22:32:04-966852,24.997654588098,0.049119046826152,23.0,25.0
Scenario1-158-20250707-22:32:04-966869,24.997527317685,0.049665007839998,24.0,25.0
Scenario1-159-20250707-22:32:05-966874,24.997800039999,0.047622340982677,23.0,25.0
Scenario1-141-20250707-22:31:58-966742,24.997836402974,0.046464557745221,24.0,25.0
Scenario1-142-20250707-22:31:58-966743,24.997818221487,0.047047014507825,23.0,25.0
Scenario1-143-20250707-22:31:59-966755,24.997909128925,0.045678630338164,24.0,25.0
Scenario1-144-20250707-22:31:59-966760,24.998036399338,0.044678229624187,23.0,25.0
Scenario1-145-20250707-22:31:59-966765,24.997836402974,0.046854228868082,23.0,25.0
Scenario1-146-20250707-22:32:00-966782,24.997636406611,0.048932742868642,23.0,25.0
Scenario1-147-20250707-22:32:00-966787,24.997527317685,0.051108390203582,23.0,25.0
Scenario1-148-20250707-22:32:01-966793,24.997327321321,0.05162929334774,24.0,25.0
Scenario1-149-20250707-22:32:01-966798,24.99749095471,0.050390069684281,23.0,25.0
Scenario1-160-20250707-22:32:05-966879,24.997454591735,0.05074779759534,23.0,25.0
Scenario1-170-20250707-22:32:08-966942,24.997636406611,0.048932742868642,23.0,25.0
Scenario1-171-20250707-22:32:09-966959,24.997600043636,0.049668575351755,23.0,25.0
Scenario1-172-20250707-22:32:09-966967,24.997381865784,0.051455715942063,23.0,25.0
Scenario1-173-20250707-22:32:10-966972,24.997309139834,0.051804133337798,24.0,25.0
Scenario1-174-20250707-22:32:10-966988,24.997545499173,0.049482529954207,24.0,25.0
Scenario1-175-20250707-22:32:10-966989,24.997709132561,0.048936201639899,23.0,25.0
Scenario1-176-20250707-22:32:11-966999,24.997600043636,0.050395383223072,22.0,25.0
Scenario1-177-20250707-22:32:11-967004,24.997418228759,0.051102995550347,23.0,25.0
Scenario1-178-20250707-22:32:11-967009,24.997672769586,0.048934485796189,23.0,25.0
Scenario1-179-20250707-22:32:12-967014,24.997745495536,0.048189105039079,23.0,25.0
Scenario1-161-20250707-22:32:05-966884,24.997272776859,0.052152035875766,24.0,25.0
Scenario1-162-20250707-22:32:06-966901,24.997345502809,0.053532053848794,23.0,25.0
Scenario1-163-20250707-22:32:06-966906,24.997709132561,0.049673726492666,23.0,25.0
Scenario1-164-20250707-22:32:06-966911,24.998018217851,0.044473482548365,24.0,25.0
Scenario1-165-20250707-22:32:07-966916,24.997618225123,0.049486083900883,23.0,25.0
Scenario1-166-20250707-22:32:07-966921,24.997890947437,0.046662297395863,23.0,25.0
Scenario1-167-20250707-22:32:07-966927,24.997636406611,0.048932742868642,23.0,25.0
Scenario1-168-20250707-22:32:07-966928,24.99756368066,0.051464645094502,21.0,25.0
Scenario1-169-20250707-22:32:07-966929,24.997709132561,0.048563239127732,23.0,25.0
Scenario1-180-20250707-22:32:12-967018,24.997600043636,0.048930972857136,24.0,25.0
Scenario1-190-20250707-22:32:17-967109,24.997836402974,0.046854228868082,23.0,25.0
