run,mean_scheduled_users,stddev_scheduled_users,min_scheduled_users,max_scheduled_users
Scenario1-0-20250707-22:31:25-965772,4.8300030908529,1.7817893401628,1.0,10.0
Scenario1-10-20250707-22:31:26-965835,4.7853311757968,1.7882159987115,1.0,10.0
Scenario1-11-20250707-22:31:26-965836,4.8402392683769,1.7883521234072,1.0,10.0
Scenario1-12-20250707-22:31:26-965845,4.8195305539899,1.7854903084124,1.0,10.0
Scenario1-13-20250707-22:31:26-965846,4.8268576934965,1.7886112734601,1.0,10.0
Scenario1-14-20250707-22:31:27-965855,4.8289667460592,1.781378884614,1.0,10.0
Scenario1-15-20250707-22:31:27-965860,4.8246213705205,1.7740979666505,1.0,10.0
Scenario1-16-20250707-22:31:28-965877,4.8298758204396,1.7833122810803,1.0,10.0
Scenario1-17-20250707-22:31:28-965879,4.8206759877093,1.780022100306,1.0,10.0
Scenario1-18-20250707-22:31:28-965878,4.7997672769586,1.7790489646343,1.0,10.0
Scenario1-19-20250707-22:31:28-965880,4.8029308558026,1.7852983837496,1.0,10.0
Scenario1-1-20250707-22:31:25-965771,4.816548790022,1.7818528522622,1.0,10.0
Scenario1-2-20250707-22:31:25-965773,4.815712441592,1.7733689628295,1.0,10.0
Scenario1-3-20250707-22:31:25-965774,4.8403665387902,1.7780909998728,1.0,10.0
Scenario1-4-20250707-22:31:25-965775,4.8121488700205,1.7774400494943,1.0,10.0
Scenario1-5-20250707-22:31:25-965776,4.8198760022545,1.7769049268798,1.0,10.0
Scenario1-6-20250707-22:31:25-965778,4.8236941146525,1.780701403328,1.0,10.0
Scenario1-7-20250707-22:31:25-965777,4.8246759149834,1.7802060649271,1.0,10.0
Scenario1-8-20250707-22:31:25-965779,4.7975491354703,1.7865899953083,1.0,10.0
Scenario1-9-20250707-22:31:25-965780,4.8224214105198,1.7900563216967,1.0,10.0
Scenario1-20-20250707-22:31:28-965893,4.099870911438,1.6336262456904,1.0,10.0
Scenario1-30-20250707-22:31:30-965965,4.0663442482864,1.634118666204,1.0,10.0
Scenario1-31-20250707-22:31:30-965970,4.1275976800422,1.6435135283425,1.0,10.0
Scenario1-32-20250707-22:31:30-965976,4.0997618225123,1.6448907500603,1.0,10.0
Scenario1-33-20250707-22:31:31-965982,4.100289085653,1.6399046835025,1.0,10.0
Scenario1-34-20250707-22:31:31-965987,4.0883620297813,1.6257952489629,1.0,10.0
Scenario1-35-20250707-22:31:31-965992,4.0673805930801,1.626095644744,1.0,10.0
Scenario1-36-20250707-22:31:31-965998,4.1603789022018,1.6627813375277,1.0,10.0
Scenario1-37-20250707-22:31:31-966003,4.1393247395502,1.6436951416125,1.0,10.0
Scenario1-38-20250707-22:31:31-966008,4.067435137543,1.6248461917411,1.0,10.0
Scenario1-39-20250707-22:31:31-966009,4.0567626043163,1.6378188774838,1.0,10.0
Scenario1-21-20250707-22:31:28-965902,4.1265067907856,1.6453889606452,1.0,10.0
Scenario1-22-20250707-22:31:28-965907,4.1138888383848,1.622661115779,1.0,10.0
Scenario1-23-20250707-22:31:28-965912,4.0967800585444,1.6512135468325,1.0,10.0
Scenario1-24-20250707-22:31:28-965919,4.0762167960583,1.6370066873353,1.0,10.0
Scenario1-25-20250707-22:31:29-965927,4.0733259395284,1.6250497977594,1.0,10.0
Scenario1-26-20250707-22:31:29-965932,4.1113434301195,1.6370490792551,1.0,10.0
Scenario1-27-20250707-22:31:29-965933,4.0628170396902,1.6303706613019,1.0,10.0
Scenario1-28-20250707-22:31:30-965955,4.0603989018381,1.6351333270526,1.0,10.0
Scenario1-29-20250707-22:31:30-965958,4.0716896056435,1.6269566004434,1.0,10.0
Scenario1-40-20250707-22:31:31-966010,3.3319212377957,1.3950460786316,1.0,10.0
Scenario1-50-20250707-22:31:34-966095,3.3595389174742,1.3938900302714,1.0,10.0
Scenario1-51-20250707-22:31:34-966100,3.3851202705405,1.4102119919902,1.0,10.0
Scenario1-52-20250707-22:31:35-966105,3.3439028381302,1.3949003080492,1.0,10.0
Scenario1-53-20250707-22:31:35-966110,3.3565753349939,1.4009532114055,1.0,10.0
Scenario1-54-20250707-22:31:35-966111,3.3628115852439,1.3986558145491,1.0,10.0
Scenario1-55-20250707-22:31:35-966112,3.3535390265632,1.3970907019978,1.0,10.0
