run,system_bytes,system_throughput_bps,system_throughput_mbps
Scenario1-0-20250707-22:31:25-965772,31414658.0,4569404.8,4.5694048
Scenario1-10-20250707-22:31:26-965835,31332056.0,4557389.963636364,4.557389963636364
Scenario1-11-20250707-22:31:26-965836,31267871.0,4548053.963636364,4.548053963636364
Scenario1-12-20250707-22:31:26-965845,31273106.0,4548815.418181818,4.548815418181818
Scenario1-13-20250707-22:31:26-965846,31295717.0,4552104.290909091,4.552104290909091
Scenario1-14-20250707-22:31:27-965855,31410589.0,4568812.945454545,4.568812945454545
Scenario1-15-20250707-22:31:27-965860,31405515.0,4568074.909090909,4.568074909090909
Scenario1-16-20250707-22:31:28-965877,31278710.0,4549630.545454546,4.549630545454546
Scenario1-17-20250707-22:31:28-965879,31397855.0,4566960.7272727275,4.566960727272727
Scenario1-18-20250707-22:31:28-965878,31424529.0,4570840.581818182,4.570840581818182
Scenario1-19-20250707-22:31:28-965880,31423618.0,4570708.072727272,4.570708072727272
Scenario1-1-20250707-22:31:25-965771,31351428.0,4560207.709090909,4.560207709090909
Scenario1-2-20250707-22:31:25-965773,31426142.0,4571075.2,4.5710752
Scenario1-3-20250707-22:31:25-965774,31306323.0,4553646.981818181,4.553646981818181
Scenario1-4-20250707-22:31:25-965775,31380475.0,4564432.7272727275,4.564432727272727
Scenario1-5-20250707-22:31:25-965776,31334822.0,4557792.290909091,4.557792290909091
Scenario1-6-20250707-22:31:25-965778,31375292.0,4563678.836363636,4.563678836363636
Scenario1-7-20250707-22:31:25-965777,31371429.0,4563116.945454545,4.563116945454546
Scenario1-8-20250707-22:31:25-965779,31357861.0,4561143.418181818,4.561143418181818
Scenario1-9-20250707-22:31:25-965780,31377547.0,4564006.836363636,4.564006836363636
Scenario1-20-20250707-22:31:28-965893,35602525.0,5178549.090909091,5.178549090909091
Scenario1-30-20250707-22:31:30-965965,35528815.0,5167827.636363637,5.167827636363636
Scenario1-31-20250707-22:31:30-965970,35449465.0,5156285.818181818,5.156285818181819
Scenario1-32-20250707-22:31:30-965976,35432617.0,5153835.2,5.1538352000000005
Scenario1-33-20250707-22:31:31-965982,35454268.0,5156984.4363636365,5.156984436363636
Scenario1-34-20250707-22:31:31-965987,35585869.0,5176126.4,5.1761264
Scenario1-35-20250707-22:31:31-965992,35563049.0,5172807.127272727,5.172807127272727
Scenario1-36-20250707-22:31:31-965998,35425249.0,5152763.490909091,5.152763490909091
Scenario1-37-20250707-22:31:31-966003,35569565.0,5173754.909090909,5.173754909090909
Scenario1-38-20250707-22:31:31-966008,35602034.0,5178477.672727273,5.178477672727273
Scenario1-39-20250707-22:31:31-966009,35607600.0,5179287.2727272725,5.179287272727272
Scenario1-21-20250707-22:31:28-965902,35533023.0,5168439.709090909,5.168439709090909
Scenario1-22-20250707-22:31:28-965907,35608897.0,5179475.927272728,5.179475927272728
Scenario1-23-20250707-22:31:28-965912,35453765.0,5156911.2727272725,5.156911272727273
Scenario1-24-20250707-22:31:28-965919,35554102.0,5171505.745454545,5.171505745454545
Scenario1-25-20250707-22:31:29-965927,35544021.0,5170039.418181818,5.170039418181818
Scenario1-26-20250707-22:31:29-965932,35545420.0,5170242.909090909,5.170242909090909
Scenario1-27-20250707-22:31:29-965933,35554828.0,5171611.345454546,5.171611345454545
Scenario1-28-20250707-22:31:30-965955,35505700.0,5164465.454545454,5.1644654545454545
Scenario1-29-20250707-22:31:30-965958,35565060.0,5173099.636363637,5.173099636363637
Scenario1-40-20250707-22:31:31-966010,39769765.0,5784693.090909091,5.784693090909091
Scenario1-50-20250707-22:31:34-966095,39695123.0,5773836.072727272,5.773836072727272
