Run,Config,Repetition,Warmup (s),Warmup Value (s),SimTime (s),Sys Throughput (Mbps),RB Utilization,Avg User Throughput (kbps),Avg Queue Length
WarmupDetection500-0-20250706-19:26:09-586986,WarmupDetection500,0,0.9489814186055999,0.0020,10.100000000000001,1.52,13.802,0.37,0.77
WarmupDetection500-1-20250706-19:26:09-586987,WarmupDetection500,1,0.9934145680752,0.0020,12.5,1.52,13.537,0.37,0.76
WarmupDetection500-2-20250706-19:26:09-586985,WarmupDetection500,2,1.5060943750392,0.0020,19.200000000000003,1.52,13.783,0.37,0.77
WarmupDetection500-3-20250706-19:26:09-586988,WarmupDetection500,3,1.0724955699048,0.0020,10.5,1.52,13.816,0.37,0.77
WarmupDetection500-4-20250706-19:26:09-586990,WarmupDetection500,4,0.802669142136,0.0020,10.100000000000001,1.51,13.595,0.37,0.77
WarmupDetection500-5-20250706-19:26:09-586991,WarmupDetection500,5,0.9748553288028,0.0020,10.9,1.52,13.790,0.37,0.76
WarmupDetection500-6-20250706-19:26:09-586994,WarmupDetection500,6,1.2792830445396,0.0020,10.100000000000001,1.51,13.568,0.37,0.77
WarmupDetection500-7-20250706-19:26:09-586995,WarmupDetection500,7,0.8407593243792,0.0020,12.3,1.50,13.572,0.37,0.77
WarmupDetection500-8-20250706-19:26:09-586996,WarmupDetection500,8,0.7283938976328,0.0020,10.100000000000001,1.51,13.379,0.37,0.77
WarmupDetection500-9-20250706-19:26:09-586997,WarmupDetection500,9,0.8506231289171999,0.0019,10.100000000000001,1.52,13.779,0.37,0.78
